"direction","bin.center","v","n","sd","bin.limit"
"0",170.000000000001,6.80774511207613,1735,13.3003052485776,340
"0",510,10.0379842486536,4869,17.1307015333884,680
"0",850,10.3203312008408,7578,16.3495023244197,1020
"0",1190,11.5958874935257,10501,17.4714016142717,1360
"0",1530,12.1548144586348,12882,18.2363464441228,1700
"0",1870,13.0682745787186,14949,19.2954252815424,2040
"0",2210,13.0333050858825,16851,19.4578531834457,2380
"0",2550,13.0337999841066,18173,19.1907336530468,2720
"0",2890,12.6278946884649,19178,18.1161277248869,3060
"0",3230,12.6631152292167,20883,18.5481590667698,3400
"0",3570,12.7499357812375,21617,18.5541532515062,3740
"0",3910,12.5842117005999,22050,18.6853433714966,4080
"0",4250,12.5378624913237,22157,18.0122053186285,4420
"0",4590,12.8064024961054,21472,19.1250347875347,4760
"0",4930,13.0972152199388,21790,19.5569206114071,5100
"0",5270,13.2828426004313,22103,19.9306496239161,5440
"0",5610,13.7941656848997,21299,19.858305921554,5780
"0",5950,13.7822033195042,20029,19.4676327808228,6120
"0",6290,13.9735238634651,18503,19.0687122141212,6460
"0",6630,14.6676216704969,17467,19.6296937454754,6800
"0",6970,14.1833773690956,16178,18.8017220394773,7140
"45",170.000000000001,8.2962345642515,1684,16.3584633789656,340
"45",510,10.1315003593881,4810,16.001345142724,680
"45",850,11.1303367425023,7690,16.4801824803459,1020
"45",1190,12.2920490914336,10250,19.441834927561,1360
"45",1530,12.4508043367401,12329,19.1155993845049,1700
"45",1870,12.8210961977562,13951,19.1454463559894,2040
"45",2210,13.5450382152302,15851,19.5000584236128,2380
"45",2550,13.5531795975857,16804,19.5126770714088,2720
"45",2890,13.6010423665673,17904,19.848027226342,3060
"45",3230,13.894950484246,18311,20.1956987149031,3400
"45",3570,14.4503964345671,18690,20.9817244422326,3740
"45",3910,14.5418546559644,19013,21.0822390559423,4080
"45",4250,13.8936388962339,19137,20.993266861703,4420
"45",4590,13.4804797558897,18518,20.9388951818976,4760
"45",4930,13.193098421742,18316,18.8662790730431,5100
"45",5270,13.1495304819772,17472,19.2468404938135,5440
"45",5610,13.3261136219469,16630,18.9368018614339,5780
"45",5950,13.1653645619907,15908,18.5560440615549,6120
"45",6290,14.0999940799023,14621,20.2938274526888,6460
"45",6630,15.2341208952885,13337,21.8262820153477,6800
"45",6970,16.5251110814773,11831,23.9979882156365,7140
"90",170.000000000001,6.83536402152067,1748,12.8391433790495,340
"90",510,9.46344902022553,4996,15.7776554373738,680
"90",850,11.3116139779174,7833,17.3569659523956,1020
"90",1190,12.1841721694826,10671,17.9000834121477,1360
"90",1530,12.5442244788159,12980,18.8937458709461,1700
"90",1870,12.9243045819832,14666,19.5456925707317,2040
"90",2210,13.1133343242501,17034,19.0184797709682,2380
"90",2550,13.5301402641046,17983,19.840675216309,2720
"90",2890,13.4889881248049,19527,19.6618619457596,3060
"90",3230,13.9959561900796,20630,20.6321608434632,3400
"90",3570,14.63378630704,21011,22.0521214786873,3740
"90",3910,14.5517669909006,21384,22.0212653657852,4080
"90",4250,14.5738593174462,21797,21.9554896852696,4420
"90",4590,14.4881912531275,21594,21.8148288351574,4760
"90",4930,15.0686960986401,21377,21.8705104253531,5100
"90",5270,14.7701038527231,20895,21.5737581172629,5440
"90",5610,14.7582129820657,20331,21.1782827978959,5780
"90",5950,14.8351343683669,19112,21.2957326200842,6120
"90",6290,13.921119952692,18248,19.6866750770051,6460
"90",6630,13.616638790075,17165,19.4342344842461,6800
"90",6970,12.5797432794501,15977,18.6179676924045,7140
"135",170.000000000001,6.74999208213152,1720,12.8092993500451,340
"135",510,9.40314341542629,4925,15.0194829409125,680
"135",850,10.6373894003376,7887,17.1605863541511,1020
"135",1190,10.9454996354349,10712,17.0309301989245,1360
"135",1530,11.3354533221023,12691,17.2105966768056,1700
"135",1870,11.6614443153779,14785,17.0835241560903,2040
"135",2210,12.0394694983869,17133,17.2012551261651,2380
"135",2550,12.16894853683,18545,17.6688027287212,2720
"135",2890,12.1950183997147,19965,17.6572317414551,3060
"135",3230,12.3400913374718,20903,18.0592299559973,3400
"135",3570,13.0149370612643,21879,18.9381678663968,3740
"135",3910,13.1901627979707,22745,18.8161768264193,4080
"135",4250,13.3023783119341,23411,18.9919423702795,4420
"135",4590,13.4481628421462,23424,19.041357328038,4760
"135",4930,13.5736771457647,23763,19.6891043263611,5100
"135",5270,13.6427548300067,23504,19.3000174977981,5440
"135",5610,13.1270527805277,23634,18.7459547335506,5780
"135",5950,13.3387073521335,23116,18.9580666310152,6120
"135",6290,13.4651153831783,22283,19.4811895886811,6460
"135",6630,13.9685695178629,21668,19.4482479956386,6800
"135",6970,13.8668565096961,20699,18.2814601194797,7140
"omnidir",170.000000000001,7.16429497118285,6887,13.8977100466996,340
"omnidir",510,9.75496605415187,19600,15.9981634707609,680
"omnidir",850,10.8477479644699,30802,16.8424667790759,1020
"omnidir",1190,11.7484829903063,42320,17.9792182885512,1360
"omnidir",1530,12.1215077703248,50882,18.3816864812195,1700
"omnidir",1870,12.6153166876108,58186,18.7972765664011,2040
"omnidir",2210,12.9206616149436,67034,18.8079712592699,2380
"omnidir",2550,13.0563812328364,71505,19.061660090401,2720
"omnidir",2890,12.9647446998669,76447,18.829284941148,3060
"omnidir",3230,13.1966727847288,80854,19.3703022358376,3400
"omnidir",3570,13.6773869635415,83197,20.1535227774908,3740
"omnidir",3910,13.674612159612,85082,20.1592770864175,4080
"omnidir",4250,13.5600195580512,86612,20.0095448848191,4420
"omnidir",4590,13.5572930412489,85008,20.2248093522617,4760
"omnidir",4930,13.7397246119846,84987,20.0608454354971,5100
"omnidir",5270,13.73131477399,84233,20.0626165994602,5440
"omnidir",5610,13.745930080459,81894,19.7112855768201,5780
"omnidir",5950,13.7832269631149,78097,19.6180177221646,6120
"omnidir",6290,13.8315075250383,73723,19.5924151054061,6460
"omnidir",6630,14.2995445990463,69637,19.975225781503,6800
"omnidir",6970,14.1138603635388,64630,19.6964565003308,7140
